iter	Passed	Remaining
0	11	2261
1	20	2021
2	29	1958
3	39	1939
4	49	1934
5	62	2009
6	71	1976
7	84	2022
8	97	2064
9	113	2165
10	134	2304
11	157	2466
12	192	2770
13	226	3009
14	267	3294
15	288	3315
16	304	3280
17	317	3206
18	328	3132
19	339	3051
20	349	2976
21	359	2908
22	369	2840
23	378	2774
24	387	2715
25	397	2659
26	407	2609
27	418	2570
28	429	2532
29	439	2488
30	449	2449
31	459	2414
32	470	2381
33	481	2353
34	495	2335
35	511	2328
36	533	2351
37	553	2360
38	574	2373
39	598	2394
40	620	2405
41	646	2430
42	662	2419
43	682	2421
44	700	2414
45	717	2403
46	735	2393
47	755	2392
48	767	2366
49	781	2343
50	793	2318
51	806	2296
52	816	2265
53	827	2237
54	838	2211
55	849	2184
56	860	2158
57	871	2133
58	882	2108
59	893	2085
60	904	2060
61	915	2037
62	926	2015
63	939	1995
64	958	1991
65	971	1973
66	986	1958
67	1007	1956
68	1022	1941
69	1041	1933
70	1060	1927
71	1079	1919
72	1096	1907
73	1121	1909
74	1152	1920
75	1168	1906
76	1184	1892
77	1203	1881
78	1219	1867
79	1236	1855
80	1251	1838
81	1263	1818
82	1277	1800
83	1288	1778
84	1299	1757
85	1310	1736
86	1321	1716
87	1333	1696
88	1344	1677
89	1355	1656
90	1366	1636
91	1377	1616
92	1387	1596
93	1400	1578
94	1412	1560
95	1425	1544
96	1441	1530
97	1455	1514
98	1472	1501
99	1491	1491
100	1511	1481
101	1528	1468
102	1544	1454
103	1563	1442
104	1581	1430
105	1602	1421
106	1628	1415
107	1650	1405
108	1670	1394
109	1687	1381
110	1701	1364
111	1713	1346
112	1724	1327
113	1735	1309
114	1746	1290
115	1756	1271
116	1766	1253
117	1777	1235
118	1788	1217
119	1799	1199
120	1810	1182
121	1821	1164
122	1834	1148
123	1846	1131
124	1859	1115
125	1871	1099
126	1885	1083
127	1899	1068
128	1911	1052
129	1928	1038
130	1942	1023
131	1955	1007
132	1970	992
133	1986	978
134	2005	965
135	2020	950
136	2039	937
137	2051	921
138	2066	906
139	2101	900
140	2146	898
141	2172	887
142	2220	885
143	2258	878
144	2307	875
145	2336	864
146	2352	848
147	2370	832
148	2388	817
149	2402	800
150	2416	784
151	2428	766
152	2441	749
153	2453	732
154	2465	715
155	2476	698
156	2489	681
157	2501	665
158	2516	648
159	2531	632
160	2543	616
161	2558	600
162	2574	584
163	2611	573
164	2700	572
165	2785	570
166	2800	553
167	2812	535
168	2829	519
169	2840	501
170	2855	484
171	2871	467
172	2886	450
173	2899	433
174	2914	416
175	2928	399
176	2940	382
177	2953	365
178	2968	348
179	2986	331
180	3000	315
181	3014	298
182	3025	281
183	3039	264
184	3051	247
185	3062	230
186	3073	213
187	3103	198
188	3149	183
189	3215	169
190	3279	154
191	3326	138
192	3382	122
193	3438	106
194	3475	89
195	3517	71
196	3563	54
197	3611	36
198	3659	18
199	3704	0
